Series ID,year,period,label,value
LNS13000062,2018,M04,2018 Apr,1669
LNS13000062,2018,M05,2018 May,1564
LNS13000062,2018,M06,2018 Jun,1654
LNS13000062,2018,M07,2018 Jul,1638
LNS13000062,2018,M08,2018 Aug,1606
LNS13000062,2018,M09,2018 Sep,1484
LNS13000062,2018,M10,2018 Oct,1519
LNS13000062,2018,M11,2018 Nov,1581
LNS13000062,2018,M12,2018 Dec,1588
LNS13000062,2019,M01,2019 Jan,1603
LNS13000062,2019,M02,2019 Feb,1553
LNS13000062,2019,M03,2019 Mar,1595
LNS13000062,2019,M04,2019 Apr,1449
LNS13000062,2019,M05,2019 May,1448
LNS13000062,2019,M06,2019 Jun,1508
LNS13000062,2019,M07,2019 Jul,1526
LNS13000062,2019,M08,2019 Aug,1492
LNS13000062,2019,M09,2019 Sep,1459
LNS13000062,2019,M10,2019 Oct,1534
LNS13000062,2019,M11,2019 Nov,1514
LNS13000062,2019,M12,2019 Dec,1514
LNS13000062,2020,M01,2020 Jan,1471
LNS13000062,2020,M02,2020 Feb,1445
LNS13000062,2020,M03,2020 Mar,1774
LNS13000062Q,2010,Q01,2010 Qtr1,3727
LNS13000062Q,2010,Q02,2010 Qtr2,3697
LNS13000062Q,2010,Q03,2010 Qtr3,3679
LNS13000062Q,2010,Q04,2010 Qtr4,3766
LNS13000062Q,2011,Q01,2011 Qtr1,3561
LNS13000062Q,2011,Q02,2011 Qtr2,3650
LNS13000062Q,2011,Q03,2011 Qtr3,3604
LNS13000062Q,2011,Q04,2011 Qtr4,3541
LNS13000062Q,2012,Q01,2012 Qtr1,3496
LNS13000062Q,2012,Q02,2012 Qtr2,3389
LNS13000062Q,2012,Q03,2012 Qtr3,3335
LNS13000062Q,2012,Q04,2012 Qtr4,3216
LNS13000062Q,2013,Q01,2013 Qtr1,3130
LNS13000062Q,2013,Q02,2013 Qtr2,2978
LNS13000062Q,2013,Q03,2013 Qtr3,2821
LNS13000062Q,2013,Q04,2013 Qtr4,2780
LNS13000062Q,2014,Q01,2014 Qtr1,2675
LNS13000062Q,2014,Q02,2014 Qtr2,2501
LNS13000062Q,2014,Q03,2014 Qtr3,2478
LNS13000062Q,2014,Q04,2014 Qtr4,2314
LNS13000062Q,2015,Q01,2015 Qtr1,2182
LNS13000062Q,2015,Q02,2015 Qtr2,2224
LNS13000062Q,2015,Q03,2015 Qtr3,2079
LNS13000062Q,2015,Q04,2015 Qtr4,2079
LNS13000062Q,2016,Q01,2016 Qtr1,2069
LNS13000062Q,2016,Q02,2016 Qtr2,2036
LNS13000062Q,2016,Q03,2016 Qtr3,2042
LNS13000062Q,2016,Q04,2016 Qtr4,1989
LNS13000062Q,2017,Q01,2017 Qtr1,1926
LNS13000062Q,2017,Q02,2017 Qtr2,1941
LNS13000062Q,2017,Q03,2017 Qtr3,1841
LNS13000062Q,2017,Q04,2017 Qtr4,1706
LNS13000062Q,2018,Q01,2018 Qtr1,1719
LNS13000062Q,2018,Q02,2018 Qtr2,1629
LNS13000062Q,2018,Q03,2018 Qtr3,1576
LNS13000062Q,2018,Q04,2018 Qtr4,1563
LNS13000062Q,2019,Q01,2019 Qtr1,1584
LNS13000062Q,2019,Q02,2019 Qtr2,1468
LNS13000062Q,2019,Q03,2019 Qtr3,1492
LNS13000062Q,2019,Q04,2019 Qtr4,1521
LNS13000062Q,2020,Q01,2020 Qtr1,1563
LNS13000086,2010,M01,2010 Jan,580
LNS13000086,2010,M02,2010 Feb,582
LNS13000086,2010,M03,2010 Mar,590
LNS13000086,2010,M04,2010 Apr,596
LNS13000086,2010,M05,2010 May,610
LNS13000086,2010,M06,2010 Jun,563
LNS13000086,2010,M07,2010 Jul,568
LNS13000086,2010,M08,2010 Aug,623
LNS13000086,2010,M09,2010 Sep,610
LNS13000086,2010,M10,2010 Oct,650
LNS13000086,2010,M11,2010 Nov,502
LNS13000086,2010,M12,2010 Dec,541
LNS13000086,2011,M01,2011 Jan,529
LNS13000086,2011,M02,2011 Feb,537
LNS13000086,2011,M03,2011 Mar,540
LNS13000086,2011,M04,2011 Apr,568
LNS13000086,2011,M05,2011 May,514
LNS13000086,2011,M06,2011 Jun,519
LNS13000086,2011,M07,2011 Jul,512
LNS13000086,2011,M08,2011 Aug,546
LNS13000086,2011,M09,2011 Sep,528
LNS13000086,2011,M10,2011 Oct,494
LNS13000086,2011,M11,2011 Nov,442
LNS13000086,2011,M12,2011 Dec,512
LNS13000086,2012,M01,2012 Jan,537
LNS13000086,2012,M02,2012 Feb,586
LNS13000086,2012,M03,2012 Mar,569
LNS13000086,2012,M04,2012 Apr,503
LNS13000086,2012,M05,2012 May,505
LNS13000086,2012,M06,2012 Jun,525
LNS13000086,2012,M07,2012 Jul,529
LNS13000086,2012,M08,2012 Aug,574
LNS13000086,2012,M09,2012 Sep,507
LNS13000086,2012,M10,2012 Oct,495
LNS13000086,2012,M11,2012 Nov,596
LNS13000086,2012,M12,2012 Dec,505
LNS13000086,2013,M01,2013 Jan,585
LNS13000086,2013,M02,2013 Feb,617
LNS13000086,2013,M03,2013 Mar,575
LNS13000086,2013,M04,2013 Apr,556
